,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_bins
930,Female,0.0,No,No,16.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.0999984741211,1212.8499755859375,0.0,13-24
931,Male,0.0,No,No,33.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),80.5999984741211,2651.10009765625,0.0,25-36
932,Male,0.0,Yes,No,72.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.299999237060547,1304.800048828125,0.0,61-72
933,Female,1.0,No,No,4.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5999984741211,360.1000061035156,1.0,0-12
934,Female,0.0,No,No,12.0,No,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,33.599998474121094,435.45001220703125,0.0,0-12
935,Female,1.0,Yes,No,4.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.25,308.04998779296875,0.0,0-12
936,Female,0.0,Yes,Yes,0.0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,80.8499984741211,1401.0,0.0,
937,Female,0.0,No,No,6.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.05000305175781,434.5,1.0,0-12
938,Female,0.0,Yes,No,65.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),108.05000305175781,7118.89990234375,0.0,61-72
939,Female,0.0,No,No,15.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.899999618530273,320.45001220703125,0.0,13-24
940,Female,0.0,No,Yes,24.0,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),21.049999237060547,531.5499877929688,0.0,13-24
941,Female,0.0,No,Yes,13.0,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.149999618530273,382.20001220703125,0.0,13-24
942,Male,0.0,No,No,24.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.8499984741211,2001.0,0.0,13-24
943,Female,0.0,Yes,No,72.0,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),65.5,4919.7001953125,0.0,61-72
944,Female,0.0,Yes,Yes,54.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.0999984741211,5645.7998046875,0.0,49-60
945,Female,0.0,No,No,3.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),74.4000015258789,215.8000030517578,1.0,0-12
946,Male,0.0,Yes,Yes,4.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,20.5,77.5999984741211,0.0,0-12
947,Female,1.0,Yes,Yes,32.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,91.3499984741211,2896.550048828125,0.0,25-36
948,Male,1.0,No,No,35.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.05000305175781,3395.800048828125,1.0,25-36
949,Male,0.0,Yes,Yes,35.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.5,759.3499755859375,0.0,25-36
950,Male,1.0,No,No,2.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.95000076293945,85.1500015258789,1.0,0-12
951,Female,0.0,No,No,8.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,75.5999984741211,535.5499877929688,0.0,0-12
952,Male,0.0,No,No,22.0,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,55.099998474121094,1253.1500244140625,0.0,13-24
953,Female,0.0,No,No,15.0,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,58.95000076293945,955.1500244140625,0.0,13-24
954,Male,0.0,No,No,22.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0999984741211,2162.60009765625,0.0,13-24
955,Male,0.0,Yes,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),44.70000076293945,44.70000076293945,1.0,0-12
956,Female,0.0,Yes,Yes,71.0,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),25.450000762939453,1813.3499755859375,0.0,61-72
957,Male,0.0,No,No,4.0,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,56.75,245.14999389648438,0.0,0-12
958,Male,0.0,No,No,25.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),81.75,2028.800048828125,0.0,25-36
959,Female,0.0,Yes,Yes,32.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.0999984741211,2723.75,0.0,25-36
960,Male,1.0,Yes,No,7.0,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.799999237060547,220.4499969482422,0.0,0-12
961,Male,0.0,No,No,17.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,20.5,365.79998779296875,0.0,13-24
962,Male,1.0,Yes,No,8.0,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),60.900001525878906,551.9500122070312,0.0,0-12
963,Female,1.0,No,No,56.0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),73.25,4054.199951171875,0.0,49-60
964,Male,0.0,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.70000076293945,45.70000076293945,1.0,0-12
965,Male,1.0,No,No,8.0,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),100.30000305175781,832.3499755859375,1.0,0-12
966,Male,0.0,No,No,7.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.25,112.30000305175781,1.0,0-12
967,Male,0.0,No,Yes,3.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.850000381469727,60.650001525878906,0.0,0-12
968,Female,0.0,No,No,71.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),77.3499984741211,5550.10009765625,0.0,61-72
969,Female,0.0,No,No,2.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.0,174.8000030517578,1.0,0-12
970,Female,0.0,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,90.55000305175781,90.55000305175781,1.0,0-12
971,Male,0.0,Yes,No,49.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.8499984741211,4733.10009765625,0.0,49-60
972,Male,0.0,No,No,58.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),70.0999984741211,4048.949951171875,0.0,49-60
973,Male,1.0,Yes,No,44.0,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,30.350000381469727,1359.699951171875,1.0,37-48
974,Female,0.0,Yes,Yes,59.0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),75.94999694824219,4542.35009765625,0.0,49-60
975,Male,0.0,No,No,71.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,108.05000305175781,7532.14990234375,1.0,61-72
976,Male,0.0,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9000015258789,69.9000015258789,1.0,0-12
977,Female,0.0,No,No,11.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.25,888.6500244140625,0.0,0-12
978,Male,1.0,Yes,No,62.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.75,6383.35009765625,1.0,61-72
979,Female,0.0,Yes,Yes,35.0,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),54.95000076293945,1916.0,0.0,25-36
980,Female,0.0,No,No,20.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),19.5,413.0,0.0,13-24
981,Male,0.0,Yes,Yes,40.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.600000381469727,808.9500122070312,0.0,37-48
982,Female,0.0,No,No,39.0,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,47.849998474121094,1886.4000244140625,0.0,37-48
983,Male,0.0,No,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.5999984741211,86.5999984741211,1.0,0-12
984,Female,0.0,Yes,Yes,72.0,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),23.75,1679.25,0.0,61-72
985,Female,1.0,Yes,No,33.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.5999984741211,2656.5,1.0,25-36
986,Female,0.0,No,No,12.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),43.79999923706055,540.9500122070312,0.0,0-12
987,Male,0.0,No,No,1.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),19.75,19.75,0.0,0-12
988,Male,0.0,No,Yes,27.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.149999618530273,537.3499755859375,0.0,25-36
989,Male,0.0,Yes,Yes,34.0,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),19.600000381469727,678.7999877929688,0.0,25-36
990,Female,0.0,Yes,No,56.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),80.30000305175781,4513.64990234375,0.0,49-60
991,Female,0.0,No,No,58.0,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),24.350000381469727,1423.8499755859375,0.0,49-60
992,Female,0.0,Yes,Yes,22.0,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),25.25,555.4000244140625,0.0,13-24
993,Female,0.0,Yes,Yes,10.0,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),26.100000381469727,225.5500030517578,0.0,0-12
994,Male,0.0,No,No,13.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),20.0,268.45001220703125,0.0,13-24
995,Female,0.0,No,No,35.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),85.30000305175781,2917.5,1.0,25-36
996,Female,0.0,No,No,34.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70.0,2416.10009765625,1.0,25-36
997,Female,1.0,No,No,4.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.30000305175781,424.45001220703125,1.0,0-12
998,Male,0.0,Yes,No,72.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.700000762939453,1492.0999755859375,0.0,61-72
999,Male,0.0,No,No,2.0,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,70.30000305175781,132.39999389648438,0.0,0-12
1000,Female,0.0,No,No,7.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.3499984741211,660.9000244140625,1.0,0-12
1001,Male,1.0,Yes,No,27.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,1893.949951171875,1.0,25-36
1002,Male,0.0,Yes,Yes,4.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.55000305175781,284.8999938964844,0.0,0-12
1003,Female,0.0,No,No,37.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.850000381469727,784.25,0.0,37-48
1004,Male,0.0,No,No,21.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.0,417.70001220703125,0.0,13-24
1005,Female,1.0,Yes,No,53.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),95.8499984741211,5016.25,0.0,49-60
1006,Female,0.0,No,No,18.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,90.0999984741211,1612.75,1.0,13-24
1007,Female,0.0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,68.94999694824219,119.75,1.0,0-12
1008,Male,0.0,Yes,Yes,32.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.55000305175781,3204.64990234375,1.0,25-36
1009,Male,1.0,Yes,No,23.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,20.75,485.20001220703125,0.0,13-24
1010,Male,0.0,No,No,3.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.150001525878906,160.85000610351562,0.0,0-12
1011,Female,0.0,Yes,Yes,71.0,No,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Mailed check,58.650001525878906,4145.25,0.0,61-72
1012,Male,0.0,No,No,9.0,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.9000015258789,827.4500122070312,0.0,0-12
1013,Female,0.0,No,No,1.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,49.5,49.5,0.0,0-12
1014,Male,0.0,Yes,Yes,18.0,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,57.45000076293945,990.8499755859375,1.0,13-24
1015,Male,0.0,Yes,Yes,12.0,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),53.650001525878906,696.3499755859375,1.0,0-12
1016,Male,0.0,Yes,No,71.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,80.0999984741211,5585.39990234375,0.0,61-72
1017,Female,0.0,No,No,64.0,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),24.399999618530273,1601.199951171875,0.0,61-72
1018,Male,0.0,No,No,4.0,No,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,40.04999923706055,162.4499969482422,0.0,0-12
1019,Female,0.0,No,No,23.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.5,470.20001220703125,0.0,13-24
1020,Female,0.0,Yes,Yes,39.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),51.04999923706055,2066.0,0.0,37-48
1021,Male,0.0,Yes,No,28.0,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,54.349998474121094,1426.449951171875,0.0,25-36
1022,Female,1.0,No,No,5.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.69999694824219,392.5,0.0,0-12
1023,Female,1.0,Yes,No,45.0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,86.0999984741211,3861.449951171875,0.0,37-48
1024,Male,0.0,No,No,37.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.3499984741211,2552.89990234375,0.0,37-48
1025,Female,1.0,Yes,No,60.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,6668.35009765625,0.0,49-60
1026,Male,1.0,No,No,8.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5999984741211,819.4000244140625,1.0,0-12
1027,Female,0.0,No,No,47.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Credit card (automatic),94.9000015258789,4615.25,0.0,37-48
1028,Male,0.0,Yes,Yes,26.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.75,2070.60009765625,1.0,25-36
1029,Female,1.0,Yes,Yes,3.0,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,88.30000305175781,273.75,1.0,0-12
1030,Female,0.0,Yes,Yes,50.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.75,3557.699951171875,0.0,49-60
1031,Male,0.0,Yes,Yes,27.0,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),71.5999984741211,1957.0999755859375,0.0,25-36
1032,Female,1.0,No,No,8.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.0999984741211,729.9500122070312,1.0,0-12
1033,Female,0.0,Yes,No,62.0,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),23.649999618530273,1416.75,0.0,61-72
1034,Female,0.0,Yes,No,71.0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),81.8499984741211,5924.39990234375,0.0,61-72
1035,Male,0.0,No,No,66.0,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check,25.100000381469727,1697.699951171875,0.0,61-72
1036,Male,0.0,Yes,Yes,68.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.69999694824219,7849.85009765625,0.0,61-72
1037,Female,0.0,No,No,13.0,No,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,49.150001525878906,649.4000244140625,0.0,13-24
1038,Male,0.0,Yes,No,56.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,80.9000015258789,4557.5,0.0,49-60
1039,Male,0.0,Yes,No,38.0,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.44999694824219,3013.050048828125,1.0,37-48
1040,Male,1.0,No,No,14.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),90.44999694824219,1266.0999755859375,1.0,13-24
1041,Female,0.0,No,Yes,16.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),19.299999237060547,360.3500061035156,0.0,13-24
1042,Female,0.0,Yes,Yes,14.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.19999694824219,1046.5,0.0,13-24
1043,Male,0.0,Yes,Yes,32.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.75,2347.89990234375,1.0,25-36
1044,Female,0.0,No,No,8.0,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),54.25,447.75,0.0,0-12
1045,Female,0.0,Yes,Yes,43.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.30000305175781,4209.9501953125,0.0,37-48
1046,Female,0.0,No,No,52.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),74.0,3877.64990234375,0.0,49-60
1047,Male,0.0,No,No,3.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.25,152.3000030517578,0.0,0-12
1048,Male,0.0,No,No,29.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,19.799999237060547,572.2000122070312,0.0,25-36
1049,Female,0.0,No,No,1.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.649999618530273,19.649999618530273,1.0,0-12
1050,Male,1.0,No,No,12.0,No,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,43.650001525878906,526.9500122070312,1.0,0-12
1051,Female,0.0,Yes,Yes,16.0,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),35.5,552.7000122070312,0.0,13-24
1052,Female,0.0,No,No,40.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,80.75,3208.64990234375,0.0,37-48
1053,Female,0.0,No,No,5.0,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,39.5,210.75,1.0,0-12
1054,Male,0.0,Yes,No,40.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.0999984741211,3706.949951171875,1.0,37-48
1055,Female,0.0,No,No,36.0,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.549999237060547,620.75,0.0,25-36
1056,Female,0.0,No,No,5.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.0,412.5,1.0,0-12
1057,Female,0.0,No,No,10.0,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.69999694824219,832.0499877929688,1.0,0-12
1058,Male,0.0,Yes,Yes,2.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.55000305175781,185.5500030517578,1.0,0-12
1059,Male,0.0,No,No,23.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,90.5999984741211,1943.199951171875,1.0,13-24
1060,Male,0.0,Yes,Yes,26.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),20.049999237060547,505.8999938964844,0.0,25-36
1061,Female,1.0,Yes,No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,112.4000015258789,8046.85009765625,0.0,61-72
1062,Female,0.0,Yes,No,34.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),50.20000076293945,1815.300048828125,0.0,25-36
1063,Male,0.0,No,No,10.0,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),62.25,612.9500122070312,0.0,0-12
1064,Female,0.0,No,No,14.0,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,55.70000076293945,795.1500244140625,0.0,13-24
1065,Female,0.0,No,No,23.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.05000305175781,2169.800048828125,1.0,13-24
1066,Male,0.0,Yes,No,47.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.649999618530273,973.0999755859375,0.0,37-48
1067,Male,0.0,Yes,No,24.0,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.25,2210.199951171875,0.0,13-24
1068,Male,0.0,Yes,No,49.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.05000305175781,4853.75,1.0,49-60
1069,Male,1.0,No,No,20.0,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,54.0,1055.9000244140625,0.0,13-24
1070,Female,0.0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.75,144.5500030517578,1.0,0-12
1071,Female,0.0,No,No,2.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.04999923706055,91.0999984741211,1.0,0-12
1072,Male,0.0,No,No,22.0,No,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),56.75,1304.8499755859375,0.0,13-24
1073,Male,0.0,No,No,7.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.05000305175781,713.0,1.0,0-12
1074,Male,0.0,No,No,1.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,21.100000381469727,21.100000381469727,0.0,0-12
1075,Female,0.0,Yes,Yes,59.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),96.6500015258789,5580.7998046875,0.0,49-60
1076,Female,0.0,Yes,Yes,58.0,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),24.5,1497.9000244140625,0.0,49-60
1077,Female,0.0,No,No,41.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),114.5,4527.4501953125,1.0,37-48
1078,Female,1.0,No,No,59.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),79.19999694824219,4590.35009765625,0.0,49-60
1079,Female,0.0,Yes,Yes,3.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55000305175781,200.1999969482422,0.0,0-12
1080,Male,0.0,No,No,32.0,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.049999237060547,614.4500122070312,0.0,25-36
1081,Male,1.0,Yes,No,46.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.8499984741211,4564.89990234375,0.0,37-48
1082,Male,0.0,Yes,Yes,0.0,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check,25.75,1401.0,0.0,
1083,Male,0.0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.94999694824219,171.14999389648438,1.0,0-12
1084,Female,0.0,Yes,Yes,52.0,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),19.600000381469727,1012.4000244140625,0.0,49-60
1085,Female,1.0,No,No,13.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.30000305175781,940.3499755859375,1.0,13-24
1086,Female,1.0,No,No,11.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),89.69999694824219,1047.699951171875,1.0,0-12
1087,Male,0.0,No,No,32.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),87.6500015258789,2766.39990234375,0.0,25-36
1088,Male,1.0,Yes,No,17.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.44999694824219,1622.449951171875,1.0,13-24
1089,Female,0.0,No,No,16.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.75,1129.3499755859375,0.0,13-24
1090,Female,0.0,No,No,51.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),107.44999694824219,5680.89990234375,0.0,49-60
1091,Male,0.0,No,No,29.0,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),75.3499984741211,2243.89990234375,0.0,25-36
1092,Male,0.0,Yes,No,70.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),64.94999694824219,4523.25,0.0,61-72
